"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACDU","1_nSPC","-7.1","-9.360","-4.494","0.2","0.05531","0.52454","1.9e-01","0.185","2.30","2.3","0.42653","0.43"
"ACDU","2_TOW","-7.1","-9.360","-4.494","0.2","0.05531","0.52454","5.6e-05","0.062","0.36","1.8","0.00002","0.11"
"ACSP","1_nSPC","-6.7","-9.761","-3.713","5.8e+07","3.348e-01","3.572e+07","0.04881","0.049","0.013","1.3e-02","6.4e-04","6.4e-04"
"ACSP","2_TOW","-6.7","-9.761","-3.713","5.8e+07","3.348e-01","3.572e+07","0.00017","0.123","0.435","7.6e-09","7.5e-05","9.3e-10"
"AEOC","1_nSPC","-2.4","-3.519","-1.244","0.087","0.02490","0.20602","0.0102","0.010","27.3","27","0.2799","0.28"
"AEOC","2_TOW","-2.4","-3.519","-1.244","0.087","0.02490","0.20602","0.0011","0.013"," 2.6","30","0.0029","0.38"
"ALSC","1_nSPC","-4","-6.743","-1.311","0.13","0.02347","0.41745","0.00375","0.0038","0.282","0.28","1.1e-03","0.0011"
"ALSC","2_TOW","-4","-6.743","-1.311","0.13","0.02347","0.41745","0.00054","0.0300","0.028","0.21","1.5e-05","0.0063"
"APFU","1_nSPC","-6.9","-10.024"," -3.788","0.21","0.0392","0.7433","0.06830","0.068","1.349","1.35","9.2e-02","0.092"
"APFU","2_TOW","-6.9","-10.024"," -3.788","0.21","0.0392","0.7433","0.00014","0.120","0.092","0.44","1.3e-05","0.053"
"APVI","1_nSPC","-5.5","-5.838","-5.097","0.032","0.02826","0.03618","0.554","0.55","18.28","18","10.1266","10"
"APVI","2_TOW","-5.5","-5.838","-5.097","0.032","0.02826","0.03618","0.011","0.72"," 0.53","16"," 0.0057","12"
"AUCH","1_nSPC","-5.6","-6.925","-4.450","0.25","0.09522","0.54818","0.12113","0.12","0.286","0.29","3.5e-02","0.035"
"AUCH","2_TOW","-5.6","-6.925","-4.450","0.25","0.09522","0.54818","0.00083","0.19","0.061","0.24","5.1e-05","0.046"
"BOAL","1_nSPC","-12","-13.845"," -9.636","0.07","0.03307","0.13260","0.79408","0.79","2.572","2.6","2.0e+00","2.0"
"BOAL","2_TOW","-12","-13.845"," -9.636","0.07","0.03307","0.13260","0.00022","0.96","0.099","1.4","2.2e-05","1.4"
"CAAB","1_nSPC","-4","-4.758","-3.187","0.03","0.01716","0.04816","0.0495","0.049","96.4"," 96","4.7684","4.8"
"CAAB","2_TOW","-4","-4.758","-3.187","0.03","0.01716","0.04816","0.0016","0.082"," 3.3","109","0.0053","8.9"
"CACA","1_nSPC","-8.9","-15.025"," -2.706","2.4"," 0.02924","14.85901","1.2e-01","0.12","0.76","0.759","8.8e-02","0.088"
"CACA","2_TOW","-8.9","-15.025"," -2.706","2.4"," 0.02924","14.85901","2.2e-05","0.14","0.20","0.082","4.5e-06","0.011"
"CAFE","1_nSPC","-3.6","-5.136","-1.884","0.042","0.01555","0.08472","0.01125","0.011","4.2","4.2","4.7e-02","0.047"
"CAFE","2_TOW","-3.6","-5.136","-1.884","0.042","0.01555","0.08472","0.00034","0.012","0.2","4.8","6.8e-05","0.057"
"CAGA","1_nSPC","-4.3","-4.856","-3.803","0.027","0.02013","0.03477","0.1388","0.14","92.0"," 92","12.780","13"
"CAGA","2_TOW","-4.3","-4.856","-3.803","0.027","0.02013","0.03477","0.0046","0.26"," 2.8","106"," 0.013","28"
"CAIG","1_nSPC","-4.3","-4.634","-3.902","0.02","0.01684","0.02465","0.215","0.22","159.4","159","34.284","34"
"CAIG","2_TOW","-4.3","-4.634","-3.902","0.02","0.01684","0.02465","0.011","0.43","  4.1","203"," 0.044","88"
"CAME","1_nSPC","-5","-5.477","-4.573","0.048","0.03769","0.06095","0.3514","0.35","23.1","23","8.1204","8.1"
"CAME","2_TOW","-5","-5.477","-4.573","0.048","0.03769","0.06095","0.0047","0.42"," 0.8","17","0.0037","6.9"
"CAOR","1_nSPC","-4.8","-6.171","-3.313","0.087","0.04665","0.15563","0.0579","0.058","4.81","4.8","2.8e-01","0.278"
"CAOR","2_TOW","-4.8","-6.171","-3.313","0.087","0.04665","0.15563","0.0003","0.033","0.26","3.0","7.6e-05","0.098"
"CHPE","1_nSPC","-6.5","-7.022","-6.001","0.067","0.05543","0.07928","0.5632","0.56","8.0","8","4.5169","4.5"
"CHPE","2_TOW","-6.5","-7.022","-6.001","0.067","0.05543","0.07928","0.0098","0.87","0.6","9","0.0059","7.8"
"CHUB","1_nSPC","-9.5","-12.372"," -6.905","0.37","0.09231","0.98227","3.4e-01","0.34","9.61","9.6","3.3e+00","3.28"
"CHUB","2_TOW","-9.5","-12.372"," -6.905","0.37","0.09231","0.98227","7.4e-05","0.48","0.39","1.1","2.9e-05","0.51"
"COFL","1_nSPC","-8.4","-10.668"," -5.963","1.3","0.1300","5.8257","3.2e-01","0.32","3.83","3.83","1.2e+00","1.209"
"COFL","2_TOW","-8.4","-10.668"," -5.963","1.3","0.1300","5.8257","7.6e-05","0.26","0.43","0.34","3.3e-05","0.088"
"DIHY","1_nSPC","-4.1","-6.835","-1.329","0.5","0.1197","1.3929","1.7e-02","0.0167","2.23","2.2","0.03731","0.0373"
"DIHY","2_TOW","-4.1","-6.835","-1.329","0.5","0.1197","1.3929","5.9e-05","0.0035","0.51","1.0","0.00003","0.0036"
"ELBI","1_nSPC","-4.2","-5.987","-2.249","0.065","0.01386","0.21539","0.02334","0.023","16.04","16.0","0.37427","0.37"
"ELBI","2_TOW","-4.2","-5.987","-2.249","0.065","0.01386","0.21539","0.00024","0.015"," 0.53"," 8.2","0.00013","0.13"
"FICO","1_nSPC","-2.7","-4.158","-1.408","0.13","0.02903","0.38854","0.03255","0.0325","0.627","0.63","2.0e-02","0.0204"
"FICO","2_TOW","-2.7","-4.158","-1.408","0.13","0.02903","0.38854","0.00063","0.0094","0.087","0.65","5.5e-05","0.0061"
"HYQU","1_nSPC","-0.048","-1.80084"," 1.73535","0.048","0.01662","0.11439","0.0016","0.0016","23.86","24","0.0385","0.039"
"HYQU","2_TOW","-0.048","-1.80084"," 1.73535","0.048","0.01662","0.11439","0.0030","0.0032"," 0.94","19","0.0028","0.062"
"MOGR","1_nSPC","-7","-8.129","-5.873","0.27","0.1004","0.6414","0.2537","0.25","7.39","7.4","1.87470","1.87"
"MOGR","2_TOW","-7","-8.129","-5.873","0.27","0.1004","0.6414","0.0012","0.58","0.29","1.1","0.00036","0.63"
"NABR","1_nSPC","-9.9","-16.484"," -3.939","0.044","0.0004745","0.3049298","0.15505","0.16","6.45","6.4","1.0e+00","1.0"
"NABR","2_TOW","-9.9","-16.484"," -3.939","0.044","0.0004745","0.3049298","0.00012","0.71","0.43","9.9","5.3e-05","7.1"
"NAHE","1_nSPC","-5","-6.159","-3.941","0.24","0.1122","0.4781","0.0692","0.069","7.39","7.4","0.5111","0.51"
"NAHE","2_TOW","-5","-6.159","-3.941","0.24","0.1122","0.4781","0.0017","0.207","0.87","3.7","0.0015","0.76"
"NASP","1_nSPC","-2.4","-3.9805","-0.7556","3"," 0.2924","14.4792","0.00629","0.0063","6.7","6.67","0.04192","0.0419"
"NASP","2_TOW","-2.4","-3.9805","-0.7556","3"," 0.2924","14.4792","0.00039","0.0041","1.1","0.35","0.00042","0.0014"
"NAUN","1_nSPC","-7.4","-7.997","-6.685","0.15","0.1036","0.1989","0.6532","0.65","12.9","12.9","8.4388","8.4"
"NAUN","2_TOW","-7.4","-7.997","-6.685","0.15","0.1036","0.1989","0.0031","0.83"," 1.2"," 8.1","0.0037","6.7"
