"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABAB","1_nSPC","-0.2","-0.6607"," 0.2825","2.3","1.358","3.761","0.094","0.094","0.0097","0.0097","0.00091","0.00091"
"ABAB","2_BLT","-0.2","-0.6607"," 0.2825","2.3","1.358","3.761","0.068","0.082","0.0216","0.0095","0.00147","0.00078"
"ABSO","1_nSPC","-0.81","-1.4645","-0.1180","2.2","1.448","3.166","0.090","0.090","0.0025","0.0025","0.00022","0.00022"
"ABSO","2_BLT","-0.81","-1.4645","-0.1180","2.2","1.448","3.166","0.041","0.088","0.0067","0.0030","0.00028","0.00027"
"ABVA","1_nSPC","-0.92","-1.5764","-0.2379","2.7","1.167","5.030","0.089","0.089","0.014","0.0136","0.00121","0.00121"
"ABVA","2_BLT","-0.92","-1.5764","-0.2379","2.7","1.167","5.030","0.046","0.108","0.014","0.0052","0.00064","0.00056"
"ACAC","1_nSPC","0.35","-0.07036"," 0.77263","2.6","1.876","3.650","0.080","0.080","0.0049","0.0049","0.00040","0.00040"
"ACAC","2_BLT","0.35","-0.07036"," 0.77263","2.6","1.876","3.650","0.066","0.047","0.0101","0.0038","0.00067","0.00018"
"ACBL","1_nSPC","-0.38","-0.69144","-0.05381","1.6","1.227","1.914","0.32","0.32","0.0037","0.0037","0.0012","0.0012"
"ACBL","2_BLT","-0.38","-0.69144","-0.05381","1.6","1.227","1.914","0.24","0.31","0.0068","0.0044","0.0016","0.0014"
"ACDU","1_nSPC","0.48","0.2034","0.7660","2.1","1.816","2.457","0.34","0.34","0.0037","0.0037","0.0013","0.0013"
"ACDU","2_BLT","0.48","0.2034","0.7660","2.1","1.816","2.457","0.44","0.33","0.0101","0.0047","0.0045","0.0016"
"ACGU","1_nSPC","-1.3","-2.6226"," 0.1371","4.7"," 1.466","10.308","0.0283","0.028","0.0043","0.0043","0.00012","0.00012"
