"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"AEOC","1_nSPC","0.029","-0.86152"," 0.86000","0.49","0.2986","0.7947","0.0046","0.0046","0.00180","0.0018","8.3e-06","8.3e-06"
"AEOC","2_TOW","0.029","-0.86152"," 0.86000","0.49","0.2986","0.7947","0.0047","0.0046","0.00063","0.0013","3.0e-06","5.9e-06"
"ALSC","1_nSPC","-2.5","-3.086","-1.864","0.3","0.2069","0.4255","0.0359","0.036","0.00265","0.0026","9.5e-05","9.5e-05"
"ALSC","2_TOW","-2.5","-3.086","-1.864","0.3","0.2069","0.4255","0.0041","0.046","0.00062","0.0021","2.5e-06","9.4e-05"
"APFU","1_nSPC","-9.1","-11.099"," -7.193","0.11","0.02138","0.32337","4.9e-01","0.49","0.0037","0.0037","1.8e-03","0.0018"
"APFU","2_TOW","-9.1","-11.099"," -7.193","0.11","0.02138","0.32337","4.4e-05","0.28","0.0004","0.0036","1.8e-08","0.0010"
"APVI","1_nSPC","-1.6","-2.013","-1.238","0.29","0.2615","0.3342","0.063","0.063","0.0019","0.0019","1.2e-04","0.00012"
"APVI","2_TOW","-1.6","-2.013","-1.238","0.29","0.2615","0.3342","0.013","0.064","0.0005","0.0017","6.6e-06","0.00011"
"ARST","1_nSPC","1.5","-0.6123"," 3.5313","0.087","0.05314","0.13271","0.0004","0.00040","0.00849","0.0085","3.4e-06","3.4e-06"
"ARST","2_TOW","1.5","-0.6123"," 3.5313","0.087","0.05314","0.13271","0.0044","0.00095","0.00051","0.0058","2.2e-06","5.5e-06"
"AUCH","1_nSPC","-2.5","-3.203","-1.786","0.35","0.2222","0.5160","0.024","0.024","0.00222","0.0022","5.4e-05","5.4e-05"
"AUCH","2_TOW","-2.5","-3.203","-1.786","0.35","0.2222","0.5160","0.002","0.024","0.00051","0.0014","9.9e-07","3.4e-05"
"BAVI","1_nSPC","-1.9","-2.407","-1.456","0.32","0.2688","0.3752","0.041","0.041","0.00199","0.0020","8.1e-05","8.1e-05"
"BAVI","2_TOW","-1.9","-2.407","-1.456","0.32","0.2688","0.3752","0.013","0.084","0.00053","0.0016","6.8e-06","1.4e-04"
"CAAB","1_nSPC","-0.42","-0.72094","-0.08485","0.39","0.3057","0.4966","0.076","0.076","0.0031","0.0031","2.3e-04","0.00023"
"CAAB","2_TOW","-0.42","-0.72094","-0.08485","0.39","0.3057","0.4966","0.069","0.101","0.0014","0.0035","9.4e-05","0.00035"
"CAIG","1_nSPC","-1.2","-1.9068","-0.4755","0.33","0.2301","0.4528","0.0123","0.012","0.00182","0.0018","2.2e-05","2.2e-05"
"CAIG","2_TOW","-1.2","-1.9068","-0.4755","0.33","0.2301","0.4528","0.0063","0.020","0.00061","0.0018","3.8e-06","3.7e-05"
"CALU","1_nSPC","-3.2","-3.718","-2.761","0.23","0.1366","0.3620","0.1004","0.10","0.00742","0.0074","7.5e-04","0.00075"
"CALU","2_TOW","-3.2","-3.718","-2.761","0.23","0.1366","0.3620","0.0055","0.12","0.00074","0.0032","4.0e-06","0.00039"
