"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ACDU","1_nSPC","-5.1","-6.255","-4.081","0.18","0.06807","0.37881","0.18533","0.185","0.0041","0.0041","7.7e-04","0.00077"
"ACDU","2_TOW","-5.1","-6.255","-4.081","0.18","0.06807","0.37881","0.00037","0.058","0.0007","0.0040","2.6e-07","0.00023"
"ACSP","1_nSPC","-4.6","-5.813","-3.334","5126","2.512e-03","5.819e+03","0.0488","0.049","0.0066","6.6e-03","3.2e-04","3.2e-04"
"ACSP","2_TOW","-4.6","-5.813","-3.334","5126","2.512e-03","5.819e+03","0.0012","0.106","0.0011","2.2e-07","1.4e-06","2.3e-08"
"AEOC","1_nSPC","-0.7","-1.50996"," 0.05483","0.34","0.2121","0.5119","0.0102","0.010","0.00173","0.0017","1.8e-05","1.8e-05"
"AEOC","2_TOW","-0.7","-1.50996"," 0.05483","0.34","0.2121","0.5119","0.0078","0.016","0.00066","0.0020","5.2e-06","3.1e-05"
"ALSC","1_nSPC","-1.4","-2.665485","-0.008472","0.35","0.1724","0.6265","0.0038","0.0038","0.00153","0.0015","5.8e-06","5.8e-06"
"ALSC","2_TOW","-1.4","-2.665485","-0.008472","0.35","0.1724","0.6265","0.0035","0.0135","0.00054","0.0015","1.9e-06","2.1e-05"
"APFU","1_nSPC","-3.9","-4.637","-3.053","0.2","0.1024","0.3595","0.0683","0.068","0.00320","0.0032","2.2e-04","0.00022"
"APFU","2_TOW","-3.9","-4.637","-3.053","0.2","0.1024","0.3595","0.0016","0.072","0.00047","0.0023","7.6e-07","0.00017"
"APVI","1_nSPC","-3.1","-3.357","-2.859","0.17","0.1548","0.1841","0.554","0.55","0.00503","0.005","2.8e-03","0.0028"
"APVI","2_TOW","-3.1","-3.357","-2.859","0.17","0.1548","0.1841","0.098","0.71","0.00068","0.004","6.6e-05","0.0028"
"AUCH","1_nSPC","-3.3","-3.759","-2.795","0.23","0.1849","0.2926","0.1211","0.12","0.00259","0.0026","3.1e-04","0.00031"
"AUCH","2_TOW","-3.3","-3.759","-2.795","0.23","0.1849","0.2926","0.0058","0.14","0.00059","0.0026","3.4e-06","0.00035"
"BOAL","1_nSPC","-9.9","-11.105"," -8.850","0.065","0.04514","0.09040","0.7941","0.79","0.00646","0.0065","5.1e-03","0.0051"
"BOAL","2_TOW","-9.9","-11.105"," -8.850","0.065","0.04514","0.09040","0.0017","0.97","0.00036","0.0056","6.0e-07","0.0054"
"CAAB","1_nSPC","-2","-2.472","-1.617","0.19","0.1253","0.2708","0.049","0.049","0.00402","0.0040","2e-04","0.00020"
"CAAB","2_TOW","-2","-2.472","-1.617","0.19","0.1253","0.2708","0.014","0.099","0.00074","0.0039","1e-05","0.00039"
"CACA","1_nSPC","-5.9","-7.177","-4.452","0.26","0.1191","0.4637","0.11600","0.12","0.00261","0.0026","3.0e-04","0.00030"
"CACA","2_TOW","-5.9","-7.177","-4.452","0.26","0.1191","0.4637","0.00034","0.11","0.00054","0.0021","1.8e-07","0.00023"
"CAFE","1_nSPC","-1.4","-2.3218","-0.5323","0.16","0.04895","0.37933","0.0112","0.011","0.00398","0.0040","4.5e-05","4.5e-05"
"CAFE","2_TOW","-1.4","-2.3218","-0.5323","0.16","0.04895","0.37933","0.0028","0.011","0.00053","0.0032","1.5e-06","3.7e-05"
"CAGA","1_nSPC","-2.2","-2.505","-1.931","0.22","0.1865","0.2629","0.139","0.14","0.00410","0.0041","5.7e-04","0.00057"
"CAGA","2_TOW","-2.2","-2.505","-1.931","0.22","0.1865","0.2629","0.034","0.24","0.00081","0.0036","2.8e-05","0.00089"
"CAIG","1_nSPC","-1.9","-2.119","-1.657","0.17","0.1431","0.1977","0.215","0.22","0.010","0.010","0.00218","0.0022"
"CAIG","2_TOW","-1.9","-2.119","-1.657","0.17","0.1431","0.1977","0.087","0.39","0.002","0.012","0.00018","0.0047"
"CAME","1_nSPC","-2.7","-2.981","-2.519","0.17","0.1378","0.1974","0.35","0.35","0.00733","0.0073","2.6e-03","0.0026"
"CAME","2_TOW","-2.7","-2.981","-2.519","0.17","0.1378","0.1974","0.04","0.39","0.00092","0.0056","3.7e-05","0.0022"
"CAOR","1_nSPC","-2.2","-2.711","-1.570","0.22","0.1480","0.3004","0.0579","0.058","0.0036","0.0036","2.1e-04","0.00021"
"CAOR","2_TOW","-2.2","-2.711","-1.570","0.22","0.1480","0.3004","0.0056","0.046","0.0007","0.0032","3.9e-06","0.00015"
"CHPE","1_nSPC","-4.1","-4.331","-3.766","0.12","0.1100","0.1390","0.56","0.56","0.012","0.012","0.0067","0.0067"
"CHPE","2_TOW","-4.1","-4.331","-3.766","0.12","0.1100","0.1390","0.10","0.87","0.001","0.008","0.0001","0.0069"
"CHUB","1_nSPC","-5.9","-6.628","-5.236","0.082","0.03243","0.16645","0.341","0.34","0.03307","0.033","1.1e-02","0.0113"
"CHUB","2_TOW","-5.9","-6.628","-5.236","0.082","0.03243","0.16645","0.004","0.60","0.00084","0.010","3.4e-06","0.0062"
"COFL","1_nSPC","-5.8","-6.597","-5.113","0.19","0.1141","0.2924","0.31595","0.32","0.00417","0.0042","1.3e-03","0.00132"
"COFL","2_TOW","-5.8","-6.597","-5.113","0.19","0.1141","0.2924","0.00075","0.21","0.00052","0.0028","3.9e-07","0.00058"
"DIHY","1_nSPC","-1.8","-3.1850","-0.4087","0.52","0.2807","0.8933","0.01671","0.0167","0.00189","0.0019","3.2e-05","3.2e-05"
"DIHY","2_TOW","-1.8","-3.1850","-0.4087","0.52","0.2807","0.8933","0.00046","0.0029","0.00062","0.0012","2.8e-07","3.5e-06"
"ELBI","1_nSPC","-2.1","-2.968","-1.221","0.35","0.07353","1.09146","0.0233","0.023","0.0250","0.025","5.8e-04","0.00058"
"ELBI","2_TOW","-2.1","-2.968","-1.221","0.35","0.07353","1.09146","0.0024","0.018","0.0035","0.010","8.4e-06","0.00019"
"FICO","1_nSPC","-0.65","-1.5206"," 0.2469","0.82","0.2327","2.0157","0.033","0.0325","0.00321","0.0032","1.0e-04","1e-04"
"FICO","2_TOW","-0.65","-1.5206"," 0.2469","0.82","0.2327","2.0157","0.005","0.0096","0.00087","0.0011","4.4e-06","1e-05"
"HYQU","1_nSPC","1.7","0.4228","2.9718","0.18","0.1061","0.2852","0.0016","0.0016","0.00377","0.0038","6.1e-06","6.1e-06"
"HYQU","2_TOW","1.7","0.4228","2.9718","0.18","0.1061","0.2852","0.0147","0.0028","0.00056","0.0032","8.3e-06","9.0e-06"
"MOGR","1_nSPC","-4.1","-4.470","-3.796","0.17","0.1221","0.2389","0.254","0.25","0.00988","0.0099","2.5e-03","0.0025"
"MOGR","2_TOW","-4.1","-4.470","-3.796","0.17","0.1221","0.2389","0.012","0.42","0.00078","0.0045","9.2e-06","0.0019"
"NABR","1_nSPC","-6.2","-7.163","-5.164","0.14","0.03724","0.36871","0.1551","0.16","0.0255","0.025","3.9e-03","0.0039"
"NABR","2_TOW","-6.2","-7.163","-5.164","0.14","0.03724","0.36871","0.0055","0.72","0.0016","0.011","8.7e-06","0.0082"
"NAHE","1_nSPC","-2.4","-2.853","-1.964","0.2","0.1163","0.3177","0.069","0.069","0.0164","0.016","1.1e-03","0.0011"
"NAHE","2_TOW","-2.4","-2.853","-1.964","0.2","0.1163","0.3177","0.016","0.152","0.0025","0.012","3.9e-05","0.0019"
"NASP","1_nSPC","-0.42","-1.4634"," 0.5775","0.39","0.06306","1.37312","0.0063","0.0063","0.0158","0.0158","9.9e-05","9.9e-05"
"NASP","2_TOW","-0.42","-1.4634"," 0.5775","0.39","0.06306","1.37312","0.0036","0.0055","0.0019","0.0047","6.7e-06","2.6e-05"
"NAUN","1_nSPC","-4.9","-5.301","-4.607","0.15","0.1267","0.1870","0.65","0.65","0.0154","0.015","1.0e-02","0.0101"
"NAUN","2_TOW","-4.9","-5.301","-4.607","0.15","0.1267","0.1870","0.04","0.85","0.0012","0.008","4.9e-05","0.0068"
"OPFA","1_nSPC","-2.4","-3.405","-1.422","0.28","0.1968","0.3880","0.01416","0.0142","0.00251","0.0025","3.6e-05","3.6e-05"
