"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"ABSO","1_nSPC","0.27","-0.6004"," 1.1106","6.7"," 3.621","10.984","0.030","0.030","0.002","0.0020","5.9e-05","5.9e-05"
"ABSO","2_BLT","0.27","-0.6004"," 1.1106","6.7"," 3.621","10.984","0.029","0.023","0.015","0.0023","4.5e-04","5.1e-05"
"ABVA","1_nSPC","-1.3","-2.5619","-0.1448","0.92","0.08393","3.94903","0.0254","0.025","0.0114","0.0114","2.9e-04","2.9e-04"
"ABVA","2_BLT","-1.3","-2.5619","-0.1448","0.92","0.08393","3.94903","0.0056","0.021","0.0039","0.0042","2.2e-05","8.9e-05"
"ACAC","1_nSPC","-0.3","-0.7145"," 0.1087","3.1","2.251","4.240","0.23","0.23","0.0067","0.0067","0.0015","0.0015"
"ACAC","2_BLT","-0.3","-0.7145"," 0.1087","3.1","2.251","4.240","0.17","0.22","0.0322","0.0103","0.0056","0.0023"
"ACAN","1_nSPC","-0.093","-1.8227"," 1.6320","2","1.026","3.237","0.0051","0.0051","0.0019","0.0019","9.6e-06","9.6e-06"
"ACAN","2_BLT","-0.093","-1.8227"," 1.6320","2","1.026","3.237","0.0029","0.0032","0.0033","0.0017","9.7e-06","5.5e-06"
"ACBL","1_nSPC","0.45","0.01993","0.88380","1.9","1.268","2.718","0.106","0.106","0.0033","0.0033","0.00034","0.00034"
"ACBL","2_BLT","0.45","0.01993","0.88380","1.9","1.268","2.718","0.083","0.054","0.0086","0.0045","0.00071","0.00025"
"ACDU","1_nSPC","1.1","0.241","1.984","3"," 0.6029","10.0692","0.0069","0.0069","0.0016","0.0016","1.1e-05","1.1e-05"
"ACDU","2_BLT","1.1","0.241","1.984","3"," 0.6029","10.0692","0.0227","0.0077","0.0106","0.0035","2.4e-04","2.7e-05"
"ACGU","1_nSPC","-0.12","-1.8875"," 1.4688","3.4"," 0.2759","16.9057","0.0144","0.0144","0.0070","0.0070","1.0e-04","1e-04"
"ACGU","2_BLT","-0.12","-1.8875"," 1.4688","3.4"," 0.2759","16.9057","0.0021","0.0023","0.0058","0.0017","1.2e-05","4e-06"
"ACLI","1_nSPC","-0.057","-0.5400"," 0.4466","2.7","1.660","4.102","0.11","0.11","0.0087","0.0087","0.00098","0.00098"
"ACLI","2_BLT","-0.057","-0.5400"," 0.4466","2.7","1.660","4.102","0.13","0.13","0.0255","0.0095","0.00325","0.00128"
"ACLU","1_nSPC","-1.1","-1.7280","-0.5497","1.9","1.333","2.500","0.123","0.123","0.0025","0.0025","0.00030","0.00030"
"ACLU","2_BLT","-1.1","-1.7280","-0.5497","1.9","1.333","2.500","0.032","0.093","0.0047","0.0025","0.00015","0.00024"
"ACMA","1_nSPC","-0.41","-0.91720"," 0.08039","3.4","2.161","5.014","0.078","0.078","0.0028","0.0028","0.00021","0.00021"
"ACMA","2_BLT","-0.41","-0.91720"," 0.08039","3.4","2.161","5.014","0.091","0.132","0.0166","0.0050","0.00151","0.00065"
"ACMT","1_nSPC","-0.69","-1.2880","-0.1165","1.1","0.5653","1.7783","0.069","0.069","0.0083","0.0083","0.00057","0.00057"
"ACMT","2_BLT","-0.69","-1.2880","-0.1165","1.1","0.5653","1.7783","0.024","0.047","0.0124","0.0117","0.00030","0.00056"
"ACNC","1_nSPC","-0.9","-1.4558","-0.2728","2.6","2.197","2.962","0.65","0.65","0.021","0.021","0.013","0.013"
